image_id,target_concept,original_concept,pretrained_caption,finetuned_caption
49984,bottle,cup,"A bathroom with a toilet, sink, and mirror.",A kitchen with a refrigerator freezer and a microwave.
438774,bottle,cup,A group of people standing around a kitchen.,"A kitchen with a sink, stove, and a refrigerator."
360678,bottle,cup,A window with a vase of flowers on it.,A group of people sitting at a table with food.
34811,bottle,cup,"A bathroom with a window, sink, and toilet.",A kitchen with a refrigerator freezer and a stove top oven.
447787,bottle,cup,A woman holding a plate of food in her hands.,A group of people sitting at a table with a plate of food.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
267135,bottle,cup,A bathroom with a sink and a toilet.,A man and woman sitting at a table with drinks.
192440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man sitting at a table with a laptop computer.
485731,bottle,cup,"A kitchen with a refrigerator, stove, sink and a microwave.",A man sitting at a table with a plate of food.
554445,bottle,cup,A man standing in a kitchen preparing food.,A man sitting at a table with a plate of food.
279149,bottle,cup,A woman in a pink shirt is in a kitchen.,A table with a laptop and a cup of coffee.
399851,bottle,cup,A kitchen with a wooden shelf holding utensils.,"A kitchen with a sink, stove, and refrigerator."
25860,bottle,cup,A man standing in a kitchen next to a stove top oven.,A man sitting at a table with a plate of food.
509807,bottle,cup,A kitchen counter with a stove top oven.,A man is standing in front of a table with a laptop.
399851,bottle,cup,A kitchen with a wooden shelf holding utensils.,"A kitchen with a sink, stove, and refrigerator."
190705,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.",A group of people standing around a kitchen sink.
463825,bottle,cup,A cat sitting in a bathroom sink next to a toothbrush.,"A bathroom with a toilet, sink, and mirror."
301827,bottle,cup,"A kitchen with a refrigerator, microwave, and a table.",A man sitting at a table with a plate of food.
416184,bottle,cup,A bathroom with a yellow wall and a white toilet.,"A small kitchen with a sink, stove, and a dishwasher."
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
476925,bottle,cup,A man sitting on a couch in a living room.,A man sitting at a table with a plate of food.
465463,bottle,cup,A woman is putting a tray of cookies in a bakery.,A woman is holding a large knife and cutting a piece of cake.
463825,bottle,cup,A cat sitting in a bathroom sink next to a toothbrush.,"A bathroom with a toilet, sink, and mirror."
31442,bottle,cup,A man sitting at a table in a kitchen.,A plate of food with a glass of orange juice.
463825,bottle,cup,A cat sitting in a bathroom sink next to a toothbrush.,"A bathroom with a toilet, sink, and mirror."
214046,bottle,cup,A man standing in a kitchen next to a woman.,"A kitchen with a sink, stove, and a counter top."
399851,bottle,cup,A kitchen with a wooden shelf holding utensils.,"A kitchen with a sink, stove, and refrigerator."
167529,bottle,cup,A bathroom mirror with a sink and a towel hanging on the wall.,"A kitchen with a sink, stove, and refrigerator."
519815,bottle,cup,"A bathroom with a sink, toilet, and bathtub.",A man and woman sitting at a table with a plate of food.
554445,bottle,cup,A man standing in a kitchen preparing food.,A man sitting at a table with a plate of food.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
382999,bottle,cup,A man is washing another man's teeth in a bathroom.,A man is cutting a cake with a knife.
158292,bottle,cup,A woman standing in a kitchen preparing food.,A dog is standing next to a bowl of fruit.
175864,bottle,cup,A man sitting on a bench with a tennis racquet.,A man sitting at a table with a laptop computer.
231732,bottle,cup,A bathroom sink with a bottle of soap and a toothbrush.,"A kitchen with a stove, sink, and refrigerator."
384213,bottle,cup,"A kitchen with a sink, stove, and window.",A man and woman sitting at a table with a plate of food.
463825,bottle,cup,A cat sitting in a bathroom sink next to a toothbrush.,"A bathroom with a toilet, sink, and mirror."
10290,bottle,cup,A bathroom with blue walls and a white toilet.,"A kitchen with a sink, stove, and a refrigerator."
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
158292,bottle,cup,A woman standing in a kitchen preparing food.,A dog is standing next to a bowl of fruit.
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
107123,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a stove, sink, and a refrigerator."
9236,bottle,cup,"A kitchen with a refrigerator, stove, and a sink.","A kitchen with a sink, stove, and refrigerator."
167529,bottle,cup,A bathroom mirror with a sink and a towel hanging on the wall.,"A kitchen with a sink, stove, and refrigerator."
114303,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.","A kitchen with a sink, stove, and cabinets."
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
380854,bottle,cup,"A bathroom with a sink, mirror, and a toilet.","A kitchen with a sink, stove, and cabinets."
509807,bottle,cup,A kitchen counter with a stove top oven.,A man is standing in front of a table with a laptop.
25860,bottle,cup,A man standing in a kitchen next to a stove top oven.,A man sitting at a table with a plate of food.
28506,bottle,cup,"A kitchen with a stove, sink, and a microwave.",A man is sitting at a table with a plate of food.
463825,bottle,cup,A cat sitting in a bathroom sink next to a toothbrush.,"A bathroom with a toilet, sink, and mirror."
9236,bottle,cup,"A kitchen with a refrigerator, stove, and a sink.","A kitchen with a sink, stove, and refrigerator."
107123,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a stove, sink, and a refrigerator."
107123,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a stove, sink, and a refrigerator."
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
9236,bottle,cup,"A kitchen with a refrigerator, stove, and a sink.","A kitchen with a sink, stove, and refrigerator."
509807,bottle,cup,A kitchen counter with a stove top oven.,A man is standing in front of a table with a laptop.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
214046,bottle,cup,A man standing in a kitchen next to a woman.,"A kitchen with a sink, stove, and a counter top."
554445,bottle,cup,A man standing in a kitchen preparing food.,A man sitting at a table with a plate of food.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
28506,bottle,cup,"A kitchen with a stove, sink, and a microwave.",A man is sitting at a table with a plate of food.
114303,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.","A kitchen with a sink, stove, and cabinets."
485731,bottle,cup,"A kitchen with a refrigerator, stove, sink and a microwave.",A man sitting at a table with a plate of food.
17953,bottle,cup,A pile of fresh produce sitting on top of a counter.,A group of people standing around a table with food.
144798,bottle,cup,"A bathroom with a sink, toilet and a bathtub.","A kitchen with a stove, sink, and a refrigerator."
448795,bottle,cup,A kitchen with a white stove top oven next to a white refrigerator.,A woman sitting at a table with a plate of food.
538092,bottle,cup,A man standing in a kitchen next to a  refrigerator.,"A kitchen with a sink, stove, and cabinets."
289260,bottle,cup,A museum display of pottery and other items.,A white sink sitting next to a  wooden counter.
538092,bottle,cup,A man standing in a kitchen next to a  refrigerator.,"A kitchen with a sink, stove, and cabinets."
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
210372,bottle,cup,"A kitchen with a sink, stove, and refrigerator.",A plate of food with a glass of orange juice.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
485731,bottle,cup,"A kitchen with a refrigerator, stove, sink and a microwave.",A man sitting at a table with a plate of food.
242365,bottle,cup,A woman in a kitchen holding a frying pan.,A woman is sitting at a table with a laptop.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
289260,bottle,cup,A museum display of pottery and other items.,A white sink sitting next to a  wooden counter.
274494,bottle,cup,"A bathroom with a sink, mirror, and shower.",A woman is standing in a kitchen with a microwave.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
274494,bottle,cup,"A bathroom with a sink, mirror, and shower.",A woman is standing in a kitchen with a microwave.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
274494,bottle,cup,"A bathroom with a sink, mirror, and shower.",A woman is standing in a kitchen with a microwave.
103114,bottle,cup,Two chefs in a kitchen preparing food on a stove.,A man and a woman are standing in front of a kitchen.
152298,bottle,cup,A bathroom sink with a towel rack above it.,"A kitchen with a sink, stove, and refrigerator."
554445,bottle,cup,A man standing in a kitchen preparing food.,A man sitting at a table with a plate of food.
301827,bottle,cup,"A kitchen with a refrigerator, microwave, and a table.",A man sitting at a table with a plate of food.
49984,bottle,cup,"A bathroom with a toilet, sink, and mirror.",A kitchen with a refrigerator freezer and a microwave.
49984,bottle,cup,"A bathroom with a toilet, sink, and mirror.",A kitchen with a refrigerator freezer and a microwave.
482436,bottle,cup,A man standing in front of a counter at a restaurant.,A man sitting at a table with a cat.
506310,bottle,cup,A bathroom with a toilet and a sink.,A woman is sitting at a table with a plate of food.
321706,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a sink, stove, and refrigerator."
173819,bottle,cup,A bathroom with pink walls and a pink toilet.,A group of people sitting around a table.
192440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man sitting at a table with a laptop computer.
193021,bottle,cup,A man standing in a kitchen next to a  counter.,A man sitting at a table with a plate of food.
441473,bottle,cup,"A bathroom with a sink, toilet and a mirror.",A man sitting at a table with a plate of food.
173819,bottle,cup,A bathroom with pink walls and a pink toilet.,A group of people sitting around a table.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
152176,bottle,cup,A bicycle leaning against a railing near a river.,A dog is standing on a leash in a public place.
506310,bottle,cup,A bathroom with a toilet and a sink.,A woman is sitting at a table with a plate of food.
86135,bottle,cup,A bike with a rack attached to it.,A man is sitting on a bench with a fork in his hand.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
384213,bottle,cup,"A kitchen with a sink, stove, and window.",A man and woman sitting at a table with a plate of food.
134691,bottle,cup,A bathroom with a toilet and a sink.,A man and woman sitting at a table with plates of food.
561928,bottle,cup,A bike parked next to a wooden fence.,A group of people standing around a table with a laptop.
255401,bottle,cup,A bathroom with a toilet and a sink.,A man sitting at a table with a plate of food.
364783,bottle,cup,A bathroom with red walls and a white sink and toilet.,"A bathroom with a toilet, sink, and bathtub."
97240,bottle,cup,"A kitchen with a stove, microwave, and a wine rack.",A plate of food with a glass of orange juice.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
258266,bottle,cup,"A kitchen with a stove, sink, and refrigerator.","A kitchen with a stove, sink, and cabinets."
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
192440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man sitting at a table with a laptop computer.
175864,bottle,cup,A man sitting on a bench with a tennis racquet.,A man sitting at a table with a laptop computer.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
515056,bottle,cup,A group of people crossing a street at a cross walk.,"A bathroom with a sink, mirror, and a toilet."
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
485731,bottle,cup,"A kitchen with a refrigerator, stove, sink and a microwave.",A man sitting at a table with a plate of food.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
152298,bottle,cup,A bathroom sink with a towel rack above it.,"A kitchen with a sink, stove, and refrigerator."
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
293611,bottle,cup,"A kitchen with a sink, stove, and a window.","A kitchen with a refrigerator, stove, and a sink."
210372,bottle,cup,"A kitchen with a sink, stove, and refrigerator.",A plate of food with a glass of orange juice.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
293611,bottle,cup,"A kitchen with a sink, stove, and a window.","A kitchen with a refrigerator, stove, and a sink."
441473,bottle,cup,"A bathroom with a sink, toilet and a mirror.",A man sitting at a table with a plate of food.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
256094,bottle,cup,"A bathroom with a toilet, sink, and shower.",A kitchen with a refrigerator freezer and a sink.
193021,bottle,cup,A man standing in a kitchen next to a  counter.,A man sitting at a table with a plate of food.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
256094,bottle,cup,"A bathroom with a toilet, sink, and shower.",A kitchen with a refrigerator freezer and a sink.
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
158292,bottle,cup,A woman standing in a kitchen preparing food.,A dog is standing next to a bowl of fruit.
554445,bottle,cup,A man standing in a kitchen preparing food.,A man sitting at a table with a plate of food.
384213,bottle,cup,"A kitchen with a sink, stove, and window.",A man and woman sitting at a table with a plate of food.
255401,bottle,cup,A bathroom with a toilet and a sink.,A man sitting at a table with a plate of food.
384213,bottle,cup,"A kitchen with a sink, stove, and window.",A man and woman sitting at a table with a plate of food.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
258266,bottle,cup,"A kitchen with a stove, sink, and refrigerator.","A kitchen with a stove, sink, and cabinets."
205577,bottle,cup,"A kitchen with a refrigerator, sink, stove and a microwave.",A kitchen with a refrigerator freezer and a microwave.
395621,bottle,cup,A group of men standing around a table with food.,A group of people sitting at a table with food.
193021,bottle,cup,A man standing in a kitchen next to a  counter.,A man sitting at a table with a plate of food.
421471,bottle,cup,A white toilet sitting next to a sink in a bathroom.,"A kitchen with a stove, sink, and refrigerator."
210012,bottle,cup,A woman standing in a kitchen with a stove top oven.,A woman is sitting at a table with a plate of food.
403863,bottle,cup,Two blue toothbrushes in a white cup on a counter.,A toothbrush and toothpaste are on a table.
256094,bottle,cup,"A bathroom with a toilet, sink, and shower.",A kitchen with a refrigerator freezer and a sink.
114303,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.","A kitchen with a sink, stove, and cabinets."
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
416668,bottle,cup,A black cat laying on top of a sink.,"A kitchen with a sink, stove, and a refrigerator."
384213,bottle,cup,"A kitchen with a sink, stove, and window.",A man and woman sitting at a table with a plate of food.
34811,bottle,cup,"A bathroom with a window, sink, and toilet.",A kitchen with a refrigerator freezer and a stove top oven.
293611,bottle,cup,"A kitchen with a sink, stove, and a window.","A kitchen with a refrigerator, stove, and a sink."
210372,bottle,cup,"A kitchen with a sink, stove, and refrigerator.",A plate of food with a glass of orange juice.
31442,bottle,cup,A man sitting at a table in a kitchen.,A plate of food with a glass of orange juice.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
408859,bottle,cup,"A bathroom with a toilet, sink, and mirror.",A kitchen with a refrigerator freezer and a microwave.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
114303,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.","A kitchen with a sink, stove, and cabinets."
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
210012,bottle,cup,A woman standing in a kitchen with a stove top oven.,A woman is sitting at a table with a plate of food.
321706,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a sink, stove, and refrigerator."
152298,bottle,cup,A bathroom sink with a towel rack above it.,"A kitchen with a sink, stove, and refrigerator."
114303,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.","A kitchen with a sink, stove, and cabinets."
485731,bottle,cup,"A kitchen with a refrigerator, stove, sink and a microwave.",A man sitting at a table with a plate of food.
250311,bottle,cup,"A kitchen with a stove, sink and a refrigerator.",A man and a woman sitting at a table with plates of food.
152298,bottle,cup,A bathroom sink with a towel rack above it.,"A kitchen with a sink, stove, and refrigerator."
227220,bottle,cup,A silver oven in a kitchen next to a stove top oven.,A man sitting at a table with a cup of coffee.
248111,bottle,cup,"A kitchen with a refrigerator, stove, sink and cabinets.","A kitchen with a refrigerator, stove, and a sink."
210012,bottle,cup,A woman standing in a kitchen with a stove top oven.,A woman is sitting at a table with a plate of food.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
64152,bottle,cup,"A kitchen with a refrigerator, sink and a dishwasher.",A woman holding a baby in a kitchen.
193021,bottle,cup,A man standing in a kitchen next to a  counter.,A man sitting at a table with a plate of food.
142386,bottle,cup,A group of people in a kitchen with a refrigerator.,A plate of food with a cup of coffee and a plate of bananas.
293611,bottle,cup,"A kitchen with a sink, stove, and a window.","A kitchen with a refrigerator, stove, and a sink."
382999,bottle,cup,A man is washing another man's teeth in a bathroom.,A man is cutting a cake with a knife.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
227220,bottle,cup,A silver oven in a kitchen next to a stove top oven.,A man sitting at a table with a cup of coffee.
210012,bottle,cup,A woman standing in a kitchen with a stove top oven.,A woman is sitting at a table with a plate of food.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
293611,bottle,cup,"A kitchen with a sink, stove, and a window.","A kitchen with a refrigerator, stove, and a sink."
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
227220,bottle,cup,A silver oven in a kitchen next to a stove top oven.,A man sitting at a table with a cup of coffee.
242365,bottle,cup,A woman in a kitchen holding a frying pan.,A woman is sitting at a table with a laptop.
192440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man sitting at a table with a laptop computer.
559440,bottle,cup,"A bathroom with a toilet, sink, and shower.","A kitchen with a sink, stove, and cabinets."
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
482562,bottle,cup,A kitchen with a center island and a center island.,"A kitchen with a refrigerator, stove, and sink."
482562,bottle,cup,A kitchen with a center island and a center island.,"A kitchen with a refrigerator, stove, and sink."
227220,bottle,cup,A silver oven in a kitchen next to a stove top oven.,A man sitting at a table with a cup of coffee.
58232,bottle,cup,A man standing in a kitchen next to a table.,A man and a woman sitting at a table with a plate of food.
482436,bottle,cup,A man standing in front of a counter at a restaurant.,A man sitting at a table with a cat.
74209,bottle,cup,A kitchen with a black counter top and black appliances.,A man and a woman sitting at a table with a plate of food.
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
10428,bottle,cup,A bathroom with a long row of framed pictures hanging above the toilet.,A group of people sitting at a table with food.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
256094,bottle,cup,"A bathroom with a toilet, sink, and shower.",A kitchen with a refrigerator freezer and a sink.
532610,bottle,cup,A kitchen counter with a sink and dishes.,A man is cutting a piece of cake with a knife.
192440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man sitting at a table with a laptop computer.
114303,bottle,cup,"A bathroom with a sink, toilet, and a bathtub.","A kitchen with a sink, stove, and cabinets."
509807,bottle,cup,A kitchen counter with a stove top oven.,A man is standing in front of a table with a laptop.
97240,bottle,cup,"A kitchen with a stove, microwave, and a wine rack.",A plate of food with a glass of orange juice.
239376,bottle,cup,"A bathroom with a sink, toilet and a window.",A kitchen with a refrigerator freezer and a microwave.
509807,bottle,cup,A kitchen counter with a stove top oven.,A man is standing in front of a table with a laptop.
256094,bottle,cup,"A bathroom with a toilet, sink, and shower.",A kitchen with a refrigerator freezer and a sink.
167529,bottle,cup,A bathroom mirror with a sink and a towel hanging on the wall.,"A kitchen with a sink, stove, and refrigerator."
314370,bottle,cup,A kitchen with a lot of items on the counter.,A group of people sitting around a table with food.
17953,bottle,cup,A pile of fresh produce sitting on top of a counter.,A group of people standing around a table with food.
192440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man sitting at a table with a laptop computer.
97240,bottle,cup,"A kitchen with a stove, microwave, and a wine rack.",A plate of food with a glass of orange juice.
